#
N, Schenk,Cuevas2013
1000000000000,4.5142487468041E-05,0
1202264434617.41,4.94944411775027E-05,0
1445439770745.92,5.4265804307974E-05,0
1737800828749.38,5.94968973321328E-05,0
2089296130854.04,6.52319140805686E-05,0
2511886431509.58,7.15192891264432E-05,0
3019951720402.01,7.84121000584371E-05,0
3630780547701.02,8.59685077256954E-05,0
4365158322401.66,9.42522378209502E-05,0
5248074602497.72,0.0001033331,0
6309573444801.92,0.0001132876,0
7585775750291.82,0.0001241995,0
9120108393559.1,0.0001361606,0
10964781961431.8,0.0001492713,0
13182567385564.1,0.0001636417,0
15848931924611.1,0.0001793923,0
19054607179632.5,0.0001966551,0
22908676527677.7,0.0002155743,0
27542287033381.7,0.0002363079,0
33113112148259.1,0.000259029,0
39810717055349.6,0.0002839265,0
47863009232263.9,0.0003112074,0
57543993733715.7,0.0003410979,0
69183097091893.6,0.0003738453,0
83176377110267.3,0.0004097197,0
100000000000000,0.0004490164,0
120226443461741,0.000492058,0
144543977074593,0.0005391964,0
173780082874937,0.0005908158,0
208929613085404,0.0006473353,0
251188643150957,0.0007092119,0
301995172040201,0.0007769434,0
363078054770102,0.0008510721,0
436515832240167,0.0009321882,0
524807460249773,0.0010209336,0
630957344480194,0.0011180059,0
758577575029184,0.0012241628,0
912010839355909,0.0013402262,0
1.09647819614318E+015,0.0014670872,0
1.3182567385564E+015,0.0016057106,0
1.58489319246111E+015,0.0017571397,0
1.90546071796324E+015,0.0019225021,0
2.29086765276778E+015,0.0021030138,0
2.75422870333817E+015,0.0022999852,0
3.31131121482591E+015,0.0025148259,0
3.98107170553497E+015,0.0027490498,0
4.78630092322638E+015,0.0030042803,0
5.75439937337156E+015,0.0032822547,0
6.91830970918935E+015,0.0035848293,0
8.31763771102674E+015,0.0039139831,0
1E+016,0.0042718225,0
1.20226443461742E+016,0.0046605847,0
1.44543977074593E+016,0.0050826414,0
1.73780082874938E+016,0.0055405031,0
2.08929613085404E+016,0.0060368228,0
2.51188643150958E+016,0.0065744016,0
3.01995172040201E+016,0.0071561955,0
3.63078054770101E+016,0.0077853248,0
4.36515832240165E+016,0.0084650879,0
5.24807460249771E+016,0.0091989802,0
6.30957344480195E+016,0.0099907197,0
7.58577575029185E+016,0.0108442812,0
9.12010839355911E+016,0.0117639369,0
1.09647819614319E+017,0.0127543004,0.0011973442
1.31825673855641E+017,0.013820362,0.0035920327
1.58489319246111E+017,0.0149674897,0.0059867212
1.90546071796324E+017,0.0162013499,0.0083814097
2.29086765276777E+017,0.0175276709,0.0107760982
2.75422870333816E+017,0.0189517403,0.0131707867
3.31131121482592E+017,0.0204775219,0.0155654752
3.98107170553498E+017,0.0221063437,0.0179601637
4.78630092322639E+017,0.0238353244,0.0203548522
5.75439937337158E+017,0.0256560861,0.0227495407
6.91830970918937E+017,0.0275546687,0.0251442292
8.31763771102671E+017,0.0295134975,0.0275389177
1E+018,0.0315153687,0.0299336062
1.20226443461741E+018,0.0335480321,0.0323282947
1.44543977074592E+018,0.0356072358,0.0347229832
1.73780082874938E+018,0.0376969032,0.0371176717
2.08929613085404E+018,0.0398268233,0.0395123602
2.51188643150958E+018,0.0420093895,0.0419070487
3.01995172040202E+018,0.0442568301,0.0443017372
3.63078054770101E+018,0.0465795648,0.0466964257
4.36515832240166E+018,0.0489855887,0.0490911142
5.24807460249772E+018,0.0514804669,0.0514858027
6.30957344480192E+018,0.0540675442,0.0538804912
7.58577575029187E+018,0.0567481249,0.0562751797
9.12010839355913E+018,0.0595215498,0.0586698682
1.09647819614319E+019,0.0623852492,0.0610645567
1.31825673855641E+019,0.0653350107,0.0634592452
1.58489319246112E+019,0.0683658431,0.0658539337
1.90546071796325E+019,0.0714738645,0.0682486222
2.29086765276777E+019,0.0746593615,0.0706433107
2.75422870333816E+019,0.0779303935,0.0730379991
3.31131121482591E+019,0.0813052726,0.0754326876
3.98107170553496E+019,0.0848119237,0.0778273761
4.78630092322637E+019,0.0884835026,0.0802220646
5.75439937337155E+019,0.0923520953,0.0826167531
6.91830970918938E+019,0.0964436198,0.0850114416
8.31763771102672E+019,0.1007759242,0.0874061301
1E+020,0.1053598546,0.0898008186
