#
temp, Passler
100,1.1648241107
104,1.1643702748
108,1.1638959759
112,1.163401459
116,1.1628870108
120,1.1623529521
124,1.1617996315
128,1.1612274199
132,1.1606367055
136,1.1600278898
140,1.1594013837
144,1.1587576045
148,1.1580969733
152,1.1574199129
156,1.1567268454
160,1.1560181914
164,1.155294368
168,1.1545557878
172,1.1538028584
176,1.1530359811
180,1.1522555505
184,1.151461954
188,1.1506555712
192,1.1498367739
196,1.1490059254
200,1.1481633807
204,1.1473094861
208,1.1464445793
212,1.1455689891
216,1.1446830356
220,1.1437870302
224,1.1428812755
228,1.1419660656
232,1.1410416859
236,1.1401084134
240,1.139166517
244,1.1382162571
248,1.1372578864
252,1.1362916496
256,1.1353177837
260,1.1343365183
264,1.1333480755
268,1.1323526703
272,1.131350511
276,1.1303417987
280,1.1293267283
284,1.128305488
288,1.1272782599
292,1.1262452203
296,1.1252065392
300,1.1241623814
304,1.1231129059
308,1.1220582666
312,1.1209986121
316,1.1199340863
320,1.1188648279
324,1.1177909714
328,1.1167126466
332,1.1156299789
336,1.1145430897
340,1.1134520963
344,1.1123571121
348,1.1112582468
352,1.1101556065
356,1.1090492936
360,1.1079394075
364,1.106826044
368,1.105709296
372,1.1045892533
376,1.1034660028
380,1.1023396285
384,1.1012102119
388,1.1000778316
392,1.0989425641
396,1.0978044831
400,1.09666366
404,1.0955201643
408,1.0943740629
412,1.0932254207
416,1.0920743009
420,1.0909207643
424,1.0897648701
428,1.0886066757
432,1.0874462365
436,1.0862836065
440,1.0851188379
444,1.0839519815
448,1.0827830862
452,1.0816122
456,1.080439369
460,1.0792646382
464,1.0780880511
468,1.0769096502
472,1.0757294766
476,1.0745475701
480,1.0733639696
484,1.0721787127
488,1.070991836
492,1.0698033751
496,1.0686133646
500,1.0674218381
