# Temperature and ni
Temp 	,Sproul	    , Misiakos	,Couderc
77.4	,3.12e-20	, 			, 2.59e-20
77.8	, 			, 5e-20		,
100		,			, 2e-11		,	
#110.6	,3.34e-11	,			,2.89e-11
120.75	,			,3.4e-6		,
125.9	,3.86e-5	,			,3.46e-5
137.5	,			,4.6e-3		,
148.4	,			,.21		,
151.2	,4.65e-1	,			,4.24e-1
169.7	,			,84			,
195		,			,1.78e4		,
199.5	,			,4.3e4		,
200.3	,5.1e4		,			,4.82e4
213		,			,4.46e5		,
239		,			,1.92e7		,
250.3	,7.35e7		,			,7.06e7
256.5	,			,1.45e8		,
270.6	,			,6.7e8		,
275		,1.06e9		,			,1.02e9
275.3	,1.07e9		,			,1.03e9
281		,			, 1.79e9	,
300		,9.78e9		, 9.7e9		,9.48e9
300		,9.97e9		,			,9.63e9
319.5	,			,4.51e10	,
325		,6.9e10		,			,6.71e10
340.5	,			,1.89e11	,
350		,3.63e11	,			,3.54e11
375		,1.56e12	,			,1.52e12
