nxc,tau
20488395948,1.24E-07
56920819822,1.24E-07
1.79685E+11,1.23E-07
4.21033E+11,1.22E-07
1.14508E+12,1.22E-07
3.11426E+12,1.21E-07
4.02039E+12,1.24E-07
8.29145E+12,1.21E-07
1.09346E+13,1.22E-07
2.30354E+13,1.20E-07
3.03777E+13,1.23E-07
6.13295E+13,1.20E-07
8.08809E+13,1.21E-07
1.70388E+14,1.19E-07
2.24705E+14,1.20E-07
4.73374E+14,1.18E-07
6.24256E+14,1.21E-07
1.26036E+15,1.17E-07
1.66215E+15,1.17E-07
3.65428E+15,1.11E-07
1.01525E+16,1.10E-07
2.70306E+16,1.09E-07
7.19823E+16,1.01E-07
9.49328E+16,1.00E-07
2.08787E+17,8.43E-08
5.56423E+17,6.00E-08
7.18576E+17,5.43E-08
1.48393E+18,3.36E-08
1.95813E+18,2.78E-08
3.50428E+18,1.45E-08
4.79958E+18,1.20E-08
9.61557E+18,4.28E-09
1.4683E+19,2.93E-09
1.99102E+19,1.79E-09
2.93972E+19,1.03E-09
4.41684E+19,5.29E-10
